year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis
2020,CA-AB Alberta,Fair,Never,Male,1955,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Working class,4
2020,CA-MB Manitoba,Good,Daily,Female,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Working class,5
2020,CA-QC Quebec,Good,Daily,Female,1995,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,7
2020,CA-AB Alberta,Fair,Daily,Male,1999,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private non-profit organization,Lower class,5
2020,CA-NB Nouveau-Brunswick,Good,Never,Male,1978,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Upper middle class,10
2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1969,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Other,Private business or industry,Lower class,5
2020,CA-ON Ontario,Very good,Daily,Female,1989,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,6
2020,CA-QC Quebec,Very good,Daily,Female,2002,I am born in this country,Single,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Government or public institution,Upper middle class,9
2020,CA-ON Ontario,Very good,Daily,Female,1999,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Very good,Daily,Female,2001,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,8
2020,CA-AB Alberta,Good,Daily,Male,1981,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,6
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1990,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Working class,8
2020,CA-QC Quebec,Good,Daily,Male,1963,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-QC Quebec,Good,Daily,Female,1997,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Student,Government or public institution,Upper middle class,7
2020,CA-ON Ontario,Good,Less than monthly,Male,1979,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,9
2020,CA-NS Nouvelle-Ecosse,Very good,Never,Male,1977,I am born in this country,Divorced,Short-cycle tertiary education (ISCED 5),Self employed,Not applicable; Never had a job,Upper class,8
2020,CA-ON Ontario,Good,Daily,Female,1953,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-ON Ontario,Good,Daily,Male,1989,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Working class,7
2020,CA-QC Quebec,Good,Daily,Male,1958,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,10
2020,CA-AB Alberta,Good,Daily,Female,1965,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Weekly,Male,1966,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,6
2020,CA-NB Nouveau-Brunswick,Fair,Daily,Female,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1979,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Self employed,Private business or industry,Lower middle class,8
2020,CA-BC Colombie-Britannique,Very good,Daily,Female,1999,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private non-profit organization,Working class,8
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1992,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Unemployed,Private business or industry,Lower middle class,4
2020,CA-ON Ontario,Good,Daily,Female,1993,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Working class,6
2020,CA-AB Alberta,Fair,Never,Male,1968,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,5
2020,CA-AB Alberta,Good,Never,Male,1977,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Not applicable; Never had a job,Lower middle class,8
2020,CA-BC Colombie-Britannique,Very good,Weekly,Female,1984,I am an immigrant to this country (born outside this country),Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Working class,7
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1991,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-MB Manitoba,Good,Daily,Female,1999,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,8
2020,CA-BC Colombie-Britannique,Good,Weekly,Male,1993,I am an immigrant to this country (born outside this country),Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,4
2020,CA-QC Quebec,Fair,Daily,Female,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Weekly,Female,1963,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private non-profit organization,Working class,5
2020,CA-ON Ontario,Good,Weekly,Female,1992,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,7
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1945,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,10
2020,CA-ON Ontario,Fair,Daily,Male,1976,I am born in this country,Single,Lower secondary education (ISCED 2),Retired/pensioned,Not applicable; Never had a job,Lower middle class,4
2020,CA-ON Ontario,Fair,Weekly,Male,1973,I am born in this country,Married,Lower secondary education (ISCED 2),Full time (30 hours a week or more),Private business or industry,Working class,6
2020,CA-ON Ontario,Good,Never,Male,1970,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-ON Ontario,Good,Never,Female,1971,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,7
2020,CA-MB Manitoba,Very good,Never,Male,1943,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Upper middle class,8
2020,CA-ON Ontario,Very good,Daily,Female,2000,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Student,Private business or industry,Working class,7
2020,CA-ON Ontario,Good,Daily,Female,1997,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Unemployed,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Daily,Male,1980,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,3
2020,CA-NL Terre-Neuve-et-Labrador,Fair,Daily,Female,1972,I am born in this country,Married,Lower secondary education (ISCED 2),Other,Government or public institution,Lower class,10
2020,CA-ON Ontario,Good,Daily,Male,1972,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-AB Alberta,Fair,Weekly,Male,1958,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-ON Ontario,Good,Daily,Female,1970,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Student,Private non-profit organization,Lower middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1959,I am born in this country,Separated,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-AB Alberta,Good,Never,Female,1940,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Working class,8
2020,CA-ON Ontario,Very good,Daily,Male,1961,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,8
2020,CA-QC Quebec,Good,Daily,Male,1982,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-AB Alberta,Good,Never,Male,2000,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Part time (less than 30 hours a week),Private business or industry,Lower middle class,6
2020,CA-AB Alberta,Good,Monthly,Female,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Fair,Daily,Female,1966,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Upper middle class,6
2020,CA-BC Colombie-Britannique,Poor,Daily,Female,1954,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,3
2020,CA-ON Ontario,Very poor,Never,Female,1995,I am born in this country,Single,Primary education (ISCED 1),Full time (30 hours a week or more),Private business or industry,Working class,1
2020,CA-QC Quebec,Good,Daily,Female,1960,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1966,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,4
2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1982,I am an immigrant to this country (born outside this country),Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1996,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,7
2020,CA-QC Quebec,Good,Daily,Female,1989,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,8
2020,CA-ON Ontario,Poor,Never,Female,1955,I am born in this country,Divorced,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower class,2
2020,CA-MB Manitoba,Fair,Daily,Female,1964,I am an immigrant to this country (born outside this country),Divorced,Primary education (ISCED 1),Other,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Very good,Daily,Female,1976,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Fair,Weekly,Female,1981,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,Private business or industry,Working class,8
2020,CA-QC Quebec,Fair,Less than monthly,Female,2002,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Self employed,Private business or industry,Lower middle class,7
2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1991,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,5
2020,CA-QC Quebec,Good,Daily,Female,1985,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Working class,6
2020,CA-QC Quebec,Good,Daily,Female,1952,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Not applicable; Never had a job,Upper middle class,8
2020,CA-NS Nouvelle-Ecosse,Fair,Daily,Male,1984,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-QC Quebec,Good,Weekly,Female,1955,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Good,Daily,Female,1993,I am born in this country,Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,7
2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1964,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Fair,Weekly,Female,1952,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,8
2020,CA-ON Ontario,Fair,Daily,Male,1947,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,5
2020,CA-QC Quebec,Very good,Daily,Female,1976,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Unemployed,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Fair,Daily,Male,1977,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Working class,4
2020,CA-SK Saskatchewan,Very good,Never,Male,1955,I am an immigrant to this country (born outside this country),Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Upper middle class,9
2020,CA-QC Quebec,Good,Daily,Male,1979,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,7
2020,CA-SK Saskatchewan,Very good,Less than monthly,Female,1999,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,10
2020,CA-QC Quebec,Fair,Daily,Female,1982,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,4
2020,CA-MB Manitoba,Good,Less than monthly,Female,1971,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Homemaker not otherwise employed,Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Good,Monthly,Male,1988,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper class,6
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1969,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,9
2020,CA-ON Ontario,Good,Weekly,Male,1983,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,5
2020,CA-ON Ontario,Good,Less than monthly,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Upper middle class,5
2020,CA-AB Alberta,Good,Monthly,Male,1955,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Lower middle class,9
2020,CA-ON Ontario,Fair,Daily,Female,1994,I am an immigrant to this country (born outside this country),Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,9
2020,CA-AB Alberta,Good,Daily,Male,1939,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-AB Alberta,Good,Daily,Female,1954,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Good,Daily,Male,1940,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Self employed,Not applicable; Never had a job,Upper middle class,9
2020,CA-MB Manitoba,Fair,Daily,Female,2002,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,7
2020,CA-BC Colombie-Britannique,Good,Never,Male,1946,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-AB Alberta,Fair,Never,Female,1973,I am born in this country,Divorced,Upper secondary education (ISCED 3),Unemployed,Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Less than monthly,Male,1943,I am born in this country,Married,Doctoral or equivalent (ISCED 8),Self employed,Private business or industry,Upper middle class,8
2020,CA-ON Ontario,Fair,Daily,Male,1974,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,5
2020,CA-QC Quebec,Very good,Daily,Female,1975,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,9
2020,CA-QC Quebec,Very poor,Weekly,Male,1968,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower class,3
2020,CA-ON Ontario,Very good,Never,Male,1986,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Good,Daily,Female,1996,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Student,Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Good,Never,Female,1943,I am born in this country,Widowed,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-ON Ontario,Good,Weekly,Female,1957,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Working class,8
2020,CA-QC Quebec,Fair,Daily,Female,1994,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,6
2020,CA-QC Quebec,Very good,Daily,Female,1999,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Student,Government or public institution,Upper middle class,8
2020,CA-AB Alberta,Very good,Daily,Male,2001,I am born in this country,Single,Upper secondary education (ISCED 3),Student,Not applicable; Never had a job,Upper middle class,9
2020,CA-QC Quebec,Very good,Weekly,Male,1974,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,10
2020,CA-ON Ontario,Good,Never,Male,1948,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Very good,Daily,Female,2002,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Government or public institution,Working class,8
2020,CA-ON Ontario,Good,Daily,Male,1951,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Fair,Daily,Male,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Student,Not applicable; Never had a job,Lower class,7
2020,CA-QC Quebec,Good,Daily,Male,1962,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Daily,Female,1943,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Working class,6
2020,CA-QC Quebec,Good,Daily,Female,1986,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Not applicable; Never had a job,Upper middle class,6
2020,CA-ON Ontario,Good,Daily,Female,1978,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-ON Ontario,Good,Less than monthly,Female,1950,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private non-profit organization,Upper middle class,8
2020,CA-QC Quebec,Good,Never,Male,1954,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Fair,Daily,Female,1971,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7
2020,CA-ON Ontario,Good,Daily,Female,1996,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Working class,7
2020,CA-BC Colombie-Britannique,Good,Weekly,Female,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1945,I am an immigrant to this country (born outside this country),Separated,Master or equivalent (ISCED 7),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Fair,Daily,Female,2001,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Student,Private business or industry,Lower middle class,5
2020,CA-ON Ontario,Fair,Never,Male,1952,I am born in this country,Living together as married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Lower middle class,5
2020,CA-NL Terre-Neuve-et-Labrador,Fair,Never,Female,1951,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-SK Saskatchewan,Fair,Daily,Female,1942,I am born in this country,Widowed,Primary education (ISCED 1),Retired/pensioned,Government or public institution,Lower middle class,6
2020,CA-ON Ontario,Good,Never,Male,1989,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Good,Less than monthly,Male,2000,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,6
2020,CA-AB Alberta,Very good,Less than monthly,Male,1961,I am born in this country,Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,10
2020,CA-QC Quebec,Good,Never,Male,1947,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Not applicable; Never had a job,Upper class,10
2020,CA-ON Ontario,Fair,Weekly,Male,1994,I am born in this country,Single,Lower secondary education (ISCED 2),Part time (less than 30 hours a week),Private business or industry,Lower middle class,6
2020,CA-ON Ontario,Good,Never,Male,1950,I am born in this country,Single,Upper secondary education (ISCED 3),Retired/pensioned,Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Good,Weekly,Female,1994,I am born in this country,Single,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Not applicable; Never had a job,Upper middle class,4
2020,CA-ON Ontario,Good,Never,Male,1949,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private non-profit organization,Upper middle class,10
2020,CA-BC Colombie-Britannique,Good,Daily,Female,1989,I am born in this country,Married,Upper secondary education (ISCED 3),Part time (less than 30 hours a week),Private business or industry,Working class,8
2020,CA-ON Ontario,Very good,Daily,Female,1989,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Homemaker not otherwise employed,Private business or industry,Lower middle class,10
2020,CA-BC Colombie-Britannique,Good,Never,Male,1952,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,8
2020,CA-QC Quebec,Very good,Never,Male,1942,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Private business or industry,Working class,7
2020,CA-ON Ontario,Good,Daily,Male,1969,I am an immigrant to this country (born outside this country),Single,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-AB Alberta,Very good,Weekly,Female,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,1
2020,CA-SK Saskatchewan,Good,Never,Male,1972,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Lower middle class,7
2020,CA-ON Ontario,Good,Daily,Male,1990,I am an immigrant to this country (born outside this country),Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7
2020,CA-BC Colombie-Britannique,Fair,Daily,Male,1981,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,5
2020,CA-ON Ontario,Very good,Weekly,Male,1946,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Lower middle class,10
2020,CA-QC Quebec,Good,Daily,Female,1955,I am born in this country,Divorced,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,5
2020,CA-SK Saskatchewan,Good,Less than monthly,Male,1960,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-ON Ontario,Good,Weekly,Male,1996,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Part time (less than 30 hours a week),Private business or industry,Lower middle class,9
2020,CA-ON Ontario,Very good,Daily,Female,1934,I am an immigrant to this country (born outside this country),Divorced,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Upper middle class,8
2020,CA-QC Quebec,Good,Daily,Male,1957,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Lower middle class,8
2020,CA-ON Ontario,Poor,Daily,Male,1985,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Unemployed,Private non-profit organization,Lower class,5
2020,CA-NB Nouveau-Brunswick,Very good,Monthly,Male,1987,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-BC Colombie-Britannique,Very good,Daily,Female,1957,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Unemployed,Private business or industry,Upper middle class,10
2020,CA-AB Alberta,Good,Daily,Male,1993,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Government or public institution,Lower middle class,8
2020,CA-BC Colombie-Britannique,Fair,Never,Male,1959,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Self employed,Private business or industry,Upper middle class,7
2020,CA-ON Ontario,Good,Daily,Female,1982,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Government or public institution,Upper middle class,6
2020,CA-ON Ontario,Very good,Daily,Male,1948,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,9
2020,CA-AB Alberta,Very good,Daily,Male,1957,I am born in this country,Married,Master or equivalent (ISCED 7),Retired/pensioned,Private business or industry,Upper middle class,9
2020,CA-AB Alberta,Fair,Weekly,Female,1985,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Working class,7
2020,CA-ON Ontario,Fair,Never,Female,1944,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private non-profit organization,Upper middle class,8
2020,CA-BC Colombie-Britannique,Good,Daily,Male,1938,I am born in this country,Married,Lower secondary education (ISCED 2),Retired/pensioned,Private business or industry,Upper middle class,10
2020,CA-ON Ontario,Fair,Daily,Male,1966,I am born in this country,Single,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,6
2020,CA-BC Colombie-Britannique,Good,Never,Male,1956,I am born in this country,Married,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,9
2020,CA-ON Ontario,Good,Daily,Female,1996,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,6
2020,CA-SK Saskatchewan,Fair,Less than monthly,Male,1958,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Unemployed,Private business or industry,Working class,4
2020,CA-ON Ontario,Very good,Daily,Male,1985,I am born in this country,Living together as married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Lower middle class,9
2020,CA-ON Ontario,Fair,Daily,Female,1994,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,8
